44872	56176	77924	000324-23:29:35	0.0505
44868	56172	77916	000324-23:29:36	0.0505
44872	56176	77926	000324-23:29:37	0.0505
45222	56618	78536	000324-23:29:38	0.0505
44866	56170	77912	000324-23:29:39	0.0505
45596	57088	79186	000324-23:29:41	0.0505
44886	56196	77954	000324-23:29:42	0.0505
44878	56188	77940	000324-23:29:43	0.0505
44880	56192	77944	000324-23:29:44	0.0505
44882	56196	77950	000324-23:29:45	0.0505
44880	56194	77944	000324-23:29:46	0.0505
44874	56188	77938	000324-23:29:47	0.0505
44882	56196	77950	000324-23:29:48	0.0505
44880	56196	77946	000324-23:29:49	0.0505
45398	56842	78834	000324-23:29:50	0.0505
44878	56192	77934	000324-23:29:51	0.0505
44882	56196	77940	000324-23:29:52	0.0505
44872	56186	77926	000324-23:29:53	0.0505
44686	55954	77604	000324-23:29:54	0.0505
44870	56182	77918	000324-23:29:55	0.0505
44872	56188	77928	000324-23:29:56	0.0505
44870	56184	77926	000324-23:29:57	0.0505
44872	56188	77932	000324-23:29:58	0.0505
44872	56190	77930	000324-23:29:59	0.0505
44868	56184	77924	000324-23:30:01	0.0505
44868	56184	77922	000324-23:30:02	0.0505
44868	56184	77926	000324-23:30:03	0.0505
44870	56188	77928	000324-23:30:04	0.0505
44874	56192	77934	000324-23:30:05	0.0505
44868	56186	77936	000324-23:30:06	0.0505
44866	56184	77950	000324-23:30:07	0.0505
44866	56186	77946	000324-23:30:08	0.0505
45228	56642	78572	000324-23:30:09	0.0505
44870	56194	77948	000324-23:30:10	0.0505
44868	56192	77942	000324-23:30:11	0.0505
44868	56190	77948	000324-23:30:12	0.0505
44870	56196	77954	000324-23:30:13	0.0505
44874	56200	77960	000324-23:30:14	0.0505
44874	56200	77958	000324-23:30:15	0.0505
44870	56194	77950	000324-23:30:16	0.0505
47340	56506	78474	000324-23:32:37	0.0399
47688	56922	79052	000324-23:32:38	0.0399
47322	56484	78444	000324-23:32:39	0.0399
47312	56474	78434	000324-23:32:40	0.0399
47814	57074	79264	000324-23:32:41	0.0399
47316	56478	78434	000324-23:32:42	0.0399
47314	56476	78426	000324-23:32:43	0.0399
47314	56478	78428	000324-23:32:44	0.0399
47310	56472	78420	000324-23:32:45	0.0399
47306	56468	78402	000324-23:32:46	0.0399
47312	56474	78416	000324-23:32:47	0.0399
47312	56476	78412	000324-23:32:48	0.0399
47308	56468	78400	000324-23:32:49	0.0399
47306	56468	78398	000324-23:32:50	0.0399
47310	56474	78410	000324-23:32:52	0.0399
47680	56916	79024	000324-23:32:53	0.0399
47312	56476	78420	000324-23:32:54	0.0399
47308	56472	78412	000324-23:32:55	0.0399
47314	56480	78416	000324-23:32:56	0.0399
47312	56476	78414	000324-23:32:57	0.0399
47312	56478	78416	000324-23:32:58	0.0399
47318	56486	78424	000324-23:32:59	0.0399
47312	56480	78416	000324-23:33:00	0.0399
47312	56478	78412	000324-23:33:01	0.0399
47302	56468	78388	000324-23:33:02	0.0399
47310	56476	78398	000324-23:33:03	0.0399
47308	56474	78396	000324-23:33:04	0.0399
47312	56482	78410	000324-23:33:05	0.0399
47306	56472	78396	000324-23:33:06	0.0399
47310	56478	78400	000324-23:33:07	0.0399
47680	56920	79014	000324-23:33:08	0.0399
47316	56488	78416	000324-23:33:09	0.0399
47318	56488	78418	000324-23:33:10	0.0399
47322	56494	78424	000324-23:33:12	0.0399
47322	56496	78432	000324-23:33:13	0.0399
48082	57402	79702	000324-23:33:14	0.0399
47322	56496	78434	000324-23:33:15	0.0399
47326	56500	78438	000324-23:33:16	0.0399
47318	56492	78424	000324-23:33:17	0.0399
47314	56488	78414	000324-23:33:18	0.0399
47316	56490	78410	000324-23:33:19	0.0399
47314	56488	78400	000324-23:33:20	0.0399
47816	57088	79232	000324-23:33:21	0.0399
47322	56498	78416	000324-23:33:22	0.0399
47320	56494	78408	000324-23:33:23	0.0399
47702	56954	79054	000324-23:33:24	0.0399
47316	56494	78412	000324-23:33:25	0.0399
47308	56484	78400	000324-23:33:26	0.0399
47308	56484	78394	000324-23:33:27	0.0399
47310	56488	78402	000324-23:33:28	0.0399
50060	56760	78830	000324-23:35:14	0.03009
50436	57186	79418	000324-23:35:15	0.03009
50036	56732	78790	000324-23:35:16	0.03009
50036	56732	78790	000324-23:35:17	0.03009
50048	56746	78806	000324-23:35:19	0.03009
50040	56738	78790	000324-23:35:20	0.03009
50040	56736	78788	000324-23:35:21	0.03009
50040	56738	78788	000324-23:35:22	0.03009
50044	56742	78796	000324-23:35:23	0.03009
50044	56742	78800	000324-23:35:24	0.03009
50050	56750	78804	000324-23:35:25	0.03009
50048	56746	78800	000324-23:35:26	0.03009
50050	56750	78800	000324-23:35:27	0.03009
50044	56744	78788	000324-23:35:28	0.03009
50046	56744	78790	000324-23:35:29	0.03009
50446	57200	79418	000324-23:35:30	0.03009
50026	56722	78752	000324-23:35:31	0.03009
50036	56734	78772	000324-23:35:32	0.03009
50034	56732	78768	000324-23:35:33	0.03009
50038	56736	78770	000324-23:35:34	0.03009
50032	56728	78760	000324-23:35:35	0.03009
50032	56730	78758	000324-23:35:36	0.03009
50034	56732	78762	000324-23:35:37	0.03009
50038	56736	78766	000324-23:35:39	0.03009
50032	56732	78758	000324-23:35:40	0.03009
50036	56734	78756	000324-23:35:41	0.03009
50030	56728	78750	000324-23:35:42	0.03009
50030	56730	78746	000324-23:35:43	0.03009
50830	57634	79998	000324-23:35:44	0.03009
50032	56732	78746	000324-23:35:45	0.03009
50900	57714	80108	000324-23:35:46	0.03009
