51400	86680	58378	Sat Jan 25 18:48:26 2020
51392	86658	58402	Sat Jan 25 18:48:27 2020
51396	86686	58440	Sat Jan 25 18:48:28 2020
51390	86624	58426	Sat Jan 25 18:48:29 2020
51392	86676	58408	Sat Jan 25 18:48:30 2020
51388	86668	58352	Sat Jan 25 18:48:31 2020
51386	86634	58388	Sat Jan 25 18:48:32 2020
51388	86688	58428	Sat Jan 25 18:48:33 2020
51392	86692	58386	Sat Jan 25 18:48:34 2020
51384	86638	58396	Sat Jan 25 18:48:35 2020
51380	86616	58388	Sat Jan 25 18:48:36 2020
51378	86676	58430	Sat Jan 25 18:48:37 2020
51384	86532	58368	Sat Jan 25 18:48:38 2020
51386	86634	58386	Sat Jan 25 18:48:39 2020
51380	86616	58378	Sat Jan 25 18:48:40 2020
51370	86628	58376	Sat Jan 25 18:48:41 2020
51372	86640	58374	Sat Jan 25 18:48:42 2020
51370	86618	58372	Sat Jan 25 18:48:43 2020
51370	86624	58372	Sat Jan 25 18:48:44 2020
51366	86626	58382	Sat Jan 25 18:48:45 2020
51368	86576	58376	Sat Jan 25 18:48:46 2020
51362	86600	58376	Sat Jan 25 18:48:47 2020
51358	86586	58396	Sat Jan 25 18:48:48 2020
51362	86552	58378	Sat Jan 25 18:48:49 2020
51358	86634	58440	Sat Jan 25 18:48:50 2020
51360	86710	58570	Sat Jan 25 18:48:51 2020
51356	86552	58472	Sat Jan 25 18:48:52 2020
51358	86564	58494	Sat Jan 25 18:48:53 2020
51362	86656	58472	Sat Jan 25 18:48:54 2020
51366	86714	58482	Sat Jan 25 18:48:55 2020
51364	86646	58402	Sat Jan 25 18:48:56 2020
51356	86538	58456	Sat Jan 25 18:48:57 2020
51354	86642	58474	Sat Jan 25 18:48:58 2020
51354	86632	58470	Sat Jan 25 18:48:59 2020
51350	86568	58390	Sat Jan 25 18:49:00 2020
51352	86678	58372	Sat Jan 25 18:49:01 2020
51354	86620	58414	Sat Jan 25 18:49:02 2020
51350	86632	58394	Sat Jan 25 18:49:03 2020
51348	86628	58384	Sat Jan 25 18:49:04 2020
51346	86654	58388	Sat Jan 25 18:49:05 2020
51344	86650	58398	Sat Jan 25 18:49:06 2020
51346	86636	58424	Sat Jan 25 18:49:07 2020
51342	86652	58394	Sat Jan 25 18:49:08 2020
51344	86616	58388	Sat Jan 25 18:49:09 2020
51344	86598	58414	Sat Jan 25 18:49:10 2020
51348	86620	58424	Sat Jan 25 18:49:11 2020
51346	86610	58406	Sat Jan 25 18:49:12 2020
51336	86604	58356	Sat Jan 25 18:49:13 2020
51336	86554	58412	Sat Jan 25 18:49:14 2020
51338	86574	58390	Sat Jan 25 18:49:15 2020
51338	86526	58402	Sat Jan 25 18:49:16 2020
51342	86578	58400	Sat Jan 25 18:49:17 2020
51336	86606	58314	Sat Jan 25 18:49:18 2020
51330	86538	58400	Sat Jan 25 18:49:19 2020
51336	86546	58402	Sat Jan 25 18:49:20 2020
51334	86534	58390	Sat Jan 25 18:49:21 2020
51334	86558	58412	Sat Jan 25 18:49:22 2020
51338	86558	58368	Sat Jan 25 18:49:23 2020
51336	86572	58362	Sat Jan 25 18:49:24 2020
51338	86620	58358	Sat Jan 25 18:49:25 2020
51344	86590	58388	Sat Jan 25 18:49:26 2020
51346	86640	58416	Sat Jan 25 18:49:27 2020
51340	86578	58380	Sat Jan 25 18:49:28 2020
51332	86516	58388	Sat Jan 25 18:49:29 2020
51336	86540	58408	Sat Jan 25 18:49:30 2020
51336	86536	58434	Sat Jan 25 18:49:31 2020
51340	86602	58400	Sat Jan 25 18:49:32 2020
51340	86560	58388	Sat Jan 25 18:49:33 2020
